_id,employee_id,project_id,project_resource_id,is_active,allocation_percentage,reporting_manager,start_date,end_date,duhead_id,coehead_id
4375,AFT00226,14,0,FALSE,50,AFT00099,00:00.0,00:00.0,AFT00129,AFT00640
4977,AFTC0198,28,-100,TRUE,0,,00:00.0,00:00.0,,
4978,AFTC0198,28,-100,TRUE,0,,00:00.0,00:00.0,,
4979,AFTC0198,28,-100,TRUE,0,,00:00.0,00:00.0,,
4980,AFTC0198,28,-100,TRUE,0,,00:00.0,00:00.0,,
4981,AFTC0198,28,-100,TRUE,0,,00:00.0,00:00.0,,
4984,AFT00647,56,-100,TRUE,0,,00:00.0,00:00.0,,
4985,AFT00647,56,-100,TRUE,0,,00:00.0,00:00.0,,
4986,AFT00647,56,-100,TRUE,0,,00:00.0,00:00.0,,
5192,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
5193,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
5194,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
5212,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
5076,AFT00730,45,-100,TRUE,0,,00:00.0,00:00.0,AFT00640,AFT00640
5511,AFT00099,93,1,TRUE,100,AFT00640,00:00.0,00:00.0,AFT00640,AFT00640
4995,AFT00662,1,-100,TRUE,0,,00:00.0,00:00.0,,
4996,AFT00708,6,-100,TRUE,0,,00:00.0,00:00.0,,
4997,AFT00708,6,-100,TRUE,0,,00:00.0,00:00.0,,
5002,AFT00690,80,-100,TRUE,0,,00:00.0,00:00.0,,
5003,AFT00690,80,-100,TRUE,0,,00:00.0,00:00.0,,
5004,AFT00690,80,-100,TRUE,0,,00:00.0,00:00.0,,
5005,AFT00099,24,-100,TRUE,0,,00:00.0,00:00.0,,
5213,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
4350,AFT00084,28,1,TRUE,100,AFT00599,00:00.0,00:00.0,AFT00599,AFT00599
5000,AFTI0032,1,-100,TRUE,0,,00:00.0,00:00.0,AFT00599,
5214,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
5215,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
5216,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
5021,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5022,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5046,AFT00729,82,-100,TRUE,0,,00:00.0,00:00.0,,
5047,AFT00730,75,-100,TRUE,0,,00:00.0,00:00.0,,
5048,AFT00730,75,-100,TRUE,0,,00:00.0,00:00.0,,
5049,AFT00730,75,-100,TRUE,0,,00:00.0,00:00.0,,
5050,AFT00730,75,-100,TRUE,0,,00:00.0,00:00.0,,
5051,AFT00730,75,-100,TRUE,0,,00:00.0,00:00.0,,
5052,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5053,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5054,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5055,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5056,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5057,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5058,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5059,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5060,AFT00730,41,-100,TRUE,0,,00:00.0,00:00.0,,
5228,AFT00543,25,4,TRUE,80,AFT00304,00:00.0,00:00.0,AFT00304,AFT00599
5218,AFT00416,7,2,TRUE,100,AFT00627,00:00.0,00:00.0,AFT00599,AFT00599
5220,AFT00511,7,2,TRUE,100,AFT00627,00:00.0,00:00.0,AFT00599,AFT00599
5234,AFT00688,7,2,TRUE,100,AFT00543,00:00.0,00:00.0,AFT00304,AFT00599
5237,AFTI0019,88,-100,TRUE,0,,00:00.0,00:00.0,,
5238,AFTI0019,88,-100,TRUE,0,,00:00.0,00:00.0,,
5239,AFTI0019,88,-100,TRUE,0,,00:00.0,00:00.0,,
5240,AFTI0019,88,-100,TRUE,0,,00:00.0,00:00.0,,
5241,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
5077,AFT00730,45,-100,TRUE,0,,00:00.0,00:00.0,AFT00640,AFT00640
5078,AFT00730,45,-100,TRUE,0,,00:00.0,00:00.0,AFT00640,AFT00640
4982,AFTI0022,11,-100,TRUE,0,,00:00.0,00:00.0,AFT00304,AFT00640
5018,AFTI0022,11,-100,TRUE,0,,00:00.0,00:00.0,AFT00304,AFT00640
5242,AFT00720,91,-100,TRUE,0,,00:00.0,00:00.0,,
5504,AFT00511,113,0,TRUE,100,AFTC0230,00:00.0,00:00.0,AFT00628,AFT00599
5555,AFT00661,3,-100,TRUE,0,,00:00.0,00:00.0,,
5556,AFT00661,3,-100,TRUE,0,,00:00.0,00:00.0,,
5557,AFT00661,3,-100,TRUE,0,,00:00.0,00:00.0,,
5558,AFT00661,3,-100,TRUE,0,,00:00.0,00:00.0,,
5559,AFT00661,3,-100,TRUE,0,,00:00.0,00:00.0,,
4376,AFT00226,15,0,FALSE,50,AFT00099,00:00.0,00:00.0,AFT00129,AFT00640
5341,AFT00738,7,2,TRUE,100,AFT00599,00:00.0,00:00.0,AFT00599,AFT00599
4378,AFT00234,49,1,FALSE,100,AFT00117,00:00.0,00:00.0,AFT00129,AFT00640
4379,AFT00117,49,-2,FALSE,0,,00:00.0,00:00.0,,
